code,name,category,revenue_yoy_growth,profit_loss_yoy_growth,roe,eps,composite_score
5226,GABUNGAN AQRS BERHAD,Construction,0.0,0.0,1.1,1.04,0.42800000000000005
5006,VARIA BERHAD,Construction,0.0,0.0,1.1,1.04,0.42800000000000005
5143,LUXCHEM CORPORATION BERHAD,Chemicals,0.0,0.0,1.1,0.62,0.34400000000000003
5088,APEX EQUITY HOLDINGS BERHAD,Other Financials,0.0,0.0,0.6,1.02,0.324
0104,GENETEC TECHNOLOGY BERHAD,Technology Equipment,0.0,0.0,1.0,0.61,0.322
4731,SCIENTEX BERHAD,Packaging Materials,0.0,-6.676342525399126,3.3,8.29,0.31509724238026227
8079,LEE SWEE KIAT GROUP BERHAD,Houshold Goods,0.0,0.0,0.8,0.4,0.24000000000000005
7131,ACME HOLDINGS BERHAD,Property,24.822695035460995,-25.0,1.1,0.35,0.23680851063829866
9113,ICONIC WORLDWIDE BERHAD,"Travel, Leisure & Hospitality",0.0,0.0,1.0,0.11,0.222
5288,SIME DARBY PROPERTY BERHAD,Property,10.000000000000009,-11.456176673567963,1.3,1.9,0.20314699792961377
7082,M & A EQUITY HOLDINGS BERHAD,Other Financials,0.0,0.0,0.8,0.17,0.19400000000000003
0002,KOTRA INDUSTRIES BERHAD,Pharmaceuticals,23.076923076923062,-29.1970802919708,3.4,6.57,0.15795283548568007
2739,TECHNA-X BERHAD,Other Energy Resources,0.0,0.0,0.5,0.12,0.124
5302,AURELIUS TECHNOLOGIES BERHAD,"Industrial Materials, Components & Equipment",0.0,0.0,0.2,0.19,0.07800000000000001
6947,CELCOMDIGI BERHAD,Telecommunications Service Providers,0.0,-4.10357691463682,2.7,3.72,0.05292692560895429
5000,HUME CEMENT INDUSTRIES BERHAD,Building Materials,-7.499184871209652,-1.8633540372670845,7.7,6.55,0.041238327456979196
8303,LOTUS KFM BERHAD,Food & Beverages,0.0,0.0,0.1,0.01,0.022000000000000006
8052,CENTRAL GLOBAL BERHAD,Packaging Materials,0.0,0.0,0.1,0.01,0.022000000000000006
