code,category,financial_year,revenue,profit_loss,quarter,quarter_date,revenue_qoq_growth,profit_loss_qoq_growth,revenue_yoy_growth,profit_loss_yoy_growth
5131,Consumer Services,"30 Nov, 2024",32100000.0,3800000.0,3,2024-08-31,-3.603603603603589,-42.42424242424242,-6.140350877192979,-38.70967741935484
5131,Consumer Services,"30 Nov, 2024",33299999.999999996,6600000.0,2,2024-05-31,15.224913494809677,3.125,-0.29940119760479833,-29.78723404255319
5131,Consumer Services,"30 Nov, 2024",28900000.0,6400000.0,1,2024-02-29,-10.248447204968958,-4.477611940298509,-11.349693251533743,-5.882352941176472
5131,Consumer Services,"30 Nov, 2023",32200000.000000004,6700000.0,4,2023-11-30,-5.847953216374258,8.064516129032251,0.0,-309.375
5131,Consumer Services,"30 Nov, 2023",34200000.0,6200000.0,3,2023-08-31,2.39520958083832,-34.04255319148937,3.6363636363636376,-18.42105263157895
5131,Consumer Services,"30 Nov, 2023",33400000.0,9400000.0,2,2023-05-31,2.4539877300613577,38.23529411764706,-8.241758241758246,-20.33898305084746
5131,Consumer Services,"30 Nov, 2023",32600000.0,6800000.0,1,2023-02-28,1.2422360248447006,-312.5,-5.780346820809246,-74.04580152671755
5131,Consumer Services,"30 Nov, 2022",32200000.000000004,-3200000.0,4,2022-11-30,-2.4242424242424176,-142.10526315789474,-4.166666666666652,-125.39682539682539
5131,Consumer Services,"30 Nov, 2022",33000000.0,7600000.0,3,2022-08-31,-9.340659340659341,-35.59322033898306,-10.081743869209813,-20.833333333333336
5131,Consumer Services,"30 Nov, 2022",36400000.0,11800000.0,2,2022-05-31,5.202312138728327,-54.961832061068705,-3.95778364116095,14.563106796116498
5131,Consumer Services,"30 Nov, 2022",34600000.0,26200000.0,1,2022-02-28,2.9761904761904656,107.93650793650795,-16.425120772946855,104.6875
5131,Consumer Services,"30 Nov, 2021",33600000.0,12600000.0,4,2021-11-30,-8.446866485013626,31.25,-22.935779816513758,-7.352941176470584
5131,Consumer Services,"30 Nov, 2021",36700000.0,9600000.0,3,2021-08-31,-3.16622691292876,-6.796116504854366,-14.051522248243565,-12.727272727272732
5131,Consumer Services,"30 Nov, 2021",37900000.0,10300000.0,2,2021-05-31,-8.45410628019324,-19.53125,-4.0506329113924044,-9.649122807017541
5131,Consumer Services,"30 Nov, 2021",41400000.0,12800000.0,1,2021-02-28,-5.045871559633031,-5.882352941176472,-7.58928571428571,17.431192660550465
5131,Consumer Services,"30 Nov, 2020",43600000.0,13600000.0,4,2020-11-30,2.1077283372365363,23.636363636363633,11.508951406649626,49.45054945054945
5131,Consumer Services,"30 Nov, 2020",42700000.0,11000000.0,3,2020-08-31,8.101265822784809,-3.508771929824561,7.5566750629722845,8.910891089108919
5131,Consumer Services,"30 Nov, 2020",39500000.0,11400000.0,2,2020-05-31,-11.830357142857139,4.587155963302747,-24.474187380497135,-41.53846153846153
5131,Consumer Services,"30 Nov, 2020",44800000.0,10900000.0,1,2020-02-29,14.57800511508951,19.780219780219777,13.417721518987346,0.92592592592593
5131,Consumer Services,"30 Nov, 2019",39100000.0,9100000.0,4,2019-11-30,-1.5113350125944613,-9.9009900990099,-13.111111111111107,-42.40506329113924
5131,Consumer Services,"30 Nov, 2019",39700000.0,10100000.0,3,2019-08-31,-24.09177820267686,-48.2051282051282,-22.15686274509804,-40.93567251461988
5131,Consumer Services,"30 Nov, 2019",52300000.0,19500000.0,2,2019-05-31,32.405063291139236,80.55555555555556,18.86363636363637,61.15702479338842
5131,Consumer Services,"30 Nov, 2019",39500000.0,10800000.0,1,2019-02-28,-12.222222222222223,-31.645569620253166,-8.77598152424942,19.999999999999996
5131,Consumer Services,"30 Nov, 2018",45000000.0,15800000.0,4,2018-11-30,-11.764705882352944,-7.602339181286554,-23.728813559322038,37.39130434782609
5131,Consumer Services,"30 Nov, 2018",51000000.0,17100000.0,3,2018-08-31,15.909090909090917,41.32231404958677,2.4096385542168752,17.12328767123288
5131,Consumer Services,"30 Nov, 2018",44000000.0,12100000.0,2,2018-05-31,1.616628175519641,34.44444444444446,-9.278350515463918,-0.8196721311475419
5131,Consumer Services,"30 Nov, 2018",43300000.0,9000000.0,1,2018-02-28,-26.610169491525426,-21.739130434782606,-10.537190082644631,-38.35616438356164
5131,Consumer Services,"30 Nov, 2017",59000000.0,11500000.0,4,2017-11-30,18.473895582329327,-21.232876712328764,13.68015414258188,-43.90243902439024
5131,Consumer Services,"30 Nov, 2017",49800000.0,14600000.0,3,2017-08-31,2.680412371134011,19.672131147540984,13.181818181818183,139.34426229508196
5131,Consumer Services,"30 Nov, 2017",48500000.0,12200000.0,2,2017-05-31,0.20661157024792765,-16.43835616438356,2.754237288135597,54.43037974683544
5131,Consumer Services,"30 Nov, 2017",48400000.0,14600000.0,1,2017-02-28,-6.743737957610785,-28.780487804878053,0.4149377593360981,105.63380281690141
5131,Consumer Services,"30 Nov, 2016",51900000.0,20500000.0,4,2016-11-30,17.954545454545446,236.0655737704918,,
5131,Consumer Services,"30 Nov, 2016",44000000.0,6100000.0,3,2016-08-31,-6.779661016949157,-22.78481012658228,,
5131,Consumer Services,"30 Nov, 2016",47200000.0,7900000.0,2,2016-05-31,-2.0746887966805017,11.267605633802823,,
5131,Consumer Services,"30 Nov, 2016",48200000.0,7100000.0,1,2016-02-29,,,,
